stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
451,6046,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,,43.698385,-79.522315,,,,
452,5410,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,,43.717543,-79.437932,,,,
453,5415,LAWRENCE AVE WEST AT WESTON RD,,43.700259,-79.516043,,,,
457,5451,LESLIE ST AT KIRKWOOD RD NORTH SIDE,,43.757118,-79.36077,,,,
458,5455,LESLIE ST AT LAWRENCE AVE EAST,,43.734248,-79.355688,,,,
461,1242,LONSDALE RD AT AVENUE RD EAST SIDE,,43.690838,-79.402295,,,,
462,13366,EXHIBITION LOOP AT MANITOBA DR,,43.636522,-79.414745,,,,
463,12584,EXHIBITION LOOP,,43.636249,-79.415589,,,,
464,5512,MT PLEASANT LOOP AT EGLINTON AVE EAST,,43.709017,-79.39024,,,,
465,6528,TORONTO ZOO,,43.819818,-79.179971,,,,
466,6527,TORONTO ZOO,,43.819552,-79.179841,,,,
467,6526,TORONTO ZOO,,43.819294,-79.179678,,,,
468,5519,ROUGE HILL GO STATION LOOP,,43.780682,-79.130384,,,,
469,10939,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.780923,-79.129896,,,,
470,6530,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.780753,-79.130109,,,,
471,6532,HUMBER LOOP AT THE QUEENSWAY,,43.631133,-79.478861,,,,
472,6523,HUMBER LOOP AT THE QUEENSWAY,,43.630948,-79.478791,,,,
473,13692,HUMBER LOOP AT THE QUEENSWAY,,43.631075,-79.478711,,,,
474,11791,HUMBER LOOP AT THE QUEENSWAY,,43.631192,-79.478612,,,,
475,7948,LANSDOWNE LOOP AT ST CLAIR AVE WEST,,43.676081,-79.451019,,,,
477,4435,LONG BRANCH LOOP,,43.592119,-79.543681,,,,
478,10927,QUEENS QUAY LOOP AT LOWER SPADINA AVE,,43.638552,-79.391669,,,,
481,11155,SUNNYSIDE LOOP,,43.639025,-79.448299,,,,
485,14061,WESTWOOD MALL LOOP AT MORNING STAR DR,,43.721682,-79.640754,,,,
486,2852,LUMSDEN AVE AT WESTLAKE AVE,,43.694552,-79.307848,,,,
487,11364,PROGRESS AVE AT MARKHAM RD EAST SIDE,,43.781969,-79.233279,,,,
489,11845,QUEEN ST EAST AT KINGSTON RD,,43.667071,-79.31283,,,,
490,13461,QUEEN ST EAST AT KINGSTON RD,,43.667135,-79.312892,,,,
491,6051,QUEEN ST WEST AT SHAW ST,,43.644514,-79.416858,,,,
493,1459,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,,43.665278,-79.391237,,,,
